Date,France_10y,Germany_10y,Belgium_10y,Italy_10y,Spain_10y,Portugal_10y,Ireland_10y,Greece_10y
2017-03-04,0.994,0.3,0.78,2.2813,1.668,3.943,1.019,7.062
2017-03-05,0.994,0.3,0.78,2.2813,1.668,3.943,1.019,7.062
2017-03-06,0.994,0.33,0.75,2.2813,1.68,3.947,1.03,7.068
2017-03-06,0.994,0.33,0.82,2.2813,1.68,3.947,1.03,7.068
2017-03-06,0.994,0.33,0.55,2.2813,1.68,3.947,1.03,7.068
2017-03-07,1.007,0.32,0.8,2.32825,1.703,3.948,1.013,7.18
2017-03-07,1.007,0.32,0.56,2.32825,1.703,3.948,1.013,7.18
2017-03-07,1.007,0.32,0.76,2.32825,1.703,3.948,1.013,7.18
2017-03-08,1.033,0.34,0.85,2.40114,1.726,3.985,1.07,7.159
2017-03-08,1.033,0.34,0.61,2.40114,1.726,3.985,1.07,7.159
2017-03-08,1.033,0.34,0.82,2.40114,1.726,3.985,1.07,7.159
2017-03-09,1.055,0.38,0.87,2.40114,1.742,4.011,1.107,7.245
2017-03-09,1.055,0.38,0.61,2.40114,1.742,4.011,1.107,7.245
2017-03-09,1.055,0.38,0.82,2.40114,1.742,4.011,1.107,7.245
2017-03-10,1.119,0.44,0.7,2.476,1.751,4.055,1.173,7.21
2017-03-10,1.119,0.44,0.91,2.476,1.751,4.055,1.173,7.21
2017-03-10,1.119,0.44,0.94,2.476,1.751,4.055,1.173,7.21
2017-03-11,1.102,0.44,0.94,2.49035,1.751,4.055,1.173,7.21
2017-03-12,1.102,0.44,0.94,2.49035,1.751,4.055,1.173,7.21
2017-03-13,1.102,0.45,0.71,2.49035,1.801,4.009,1.147,7.194
2017-03-13,1.102,0.45,0.93,2.49035,1.801,4.009,1.147,7.194
2017-03-13,1.102,0.45,0.95,2.49035,1.801,4.009,1.147,7.194
2017-03-14,1.131,0.47,0.71,2.55237,1.851,3.978,1.13,7.283
2017-03-14,1.131,0.47,0.93,2.55237,1.851,3.978,1.13,7.283
2017-03-14,1.131,0.47,0.97,2.55237,1.851,3.978,1.13,7.283
2017-03-15,1.117,0.43,0.68,2.44711,1.784,3.96,1.108,7.325
2017-03-15,1.117,0.43,0.89,2.44711,1.784,3.96,1.108,7.325
2017-03-15,1.117,0.43,0.93,2.44711,1.784,3.96,1.108,7.325
2017-03-16,1.069,0.43,0.88,2.47412,1.731,3.982,1.132,7.354
2017-03-16,1.069,0.43,0.71,2.47412,1.731,3.982,1.132,7.354
2017-03-16,1.069,0.43,0.91,2.47412,1.731,3.982,1.132,7.354
2017-03-17,1.167,0.47,0.7,2.55047,1.873,3.991,1.134,7.388
2017-03-17,1.167,0.47,0.89,2.55047,1.873,3.991,1.134,7.388
2017-03-17,1.167,0.47,0.95,2.55047,1.873,3.991,1.134,7.388
2017-03-18,1.155,0.47,0.95,2.54094,1.873,4.001,1.14,7.396
2017-03-19,1.155,0.47,0.95,2.54094,1.873,4.001,1.14,7.396
2017-03-20,1.155,0.45,0.74,2.54094,1.872,3.949,1.132,7.472
2017-03-20,1.155,0.45,0.94,2.54094,1.872,3.949,1.132,7.472
2017-03-20,1.155,0.45,0.94,2.54094,1.872,3.949,1.132,7.472
2017-03-21,1.155,0.48,0.75,2.49735,1.749,3.917,1.119,7.44
2017-03-21,1.155,0.48,0.94,2.49735,1.749,3.917,1.119,7.44
2017-03-21,1.155,0.48,0.97,2.49735,1.749,3.917,1.119,7.44
2017-03-22,1.083,0.41,0.71,2.45592,1.678,4.153,1.082,7.408
2017-03-22,1.083,0.41,0.91,2.45592,1.678,4.153,1.082,7.408
2017-03-22,1.083,0.41,0.94,2.45592,1.678,4.153,1.082,7.408
2017-03-23,1.05,0.4,0.91,2.40947,1.706,4.196,1.092,7.412
2017-03-23,1.05,0.4,0.66,2.40947,1.706,4.196,1.092,7.412
2017-03-23,1.05,0.4,0.86,2.40947,1.706,4.196,1.092,7.412
2017-03-24,1.063,0.42,0.65,2.43263,1.696,4.139,1.061,7.403
2017-03-24,1.063,0.42,0.85,2.43263,1.696,4.139,1.061,7.403
2017-03-24,1.063,0.42,0.9,2.43263,1.696,4.139,1.061,7.403
2017-03-25,1.009,0.42,0.65,2.38742,1.696,4.139,1.061,7.403
2017-03-26,1.009,0.42,0.65,2.38742,1.696,4.15,1.055,7.447
2017-03-27,1.009,0.38,0.64,2.38742,1.671,4.077,1.035,7.309
2017-03-27,1.009,0.38,0.84,2.38742,1.671,4.077,1.035,7.309
2017-03-27,1.009,0.38,0.87,2.38742,1.671,4.077,1.035,7.309
2017-03-28,0.991,0.39,0.61,2.32591,1.602,4.071,1.007,7.098
2017-03-28,0.991,0.39,0.81,2.32591,1.602,4.071,1.007,7.098
2017-03-28,0.991,0.39,0.86,2.32591,1.602,4.071,1.007,7.098
2017-03-29,0.985,0.38,0.6,2.31544,1.674,4.003,0.952,6.913
2017-03-29,0.985,0.38,0.81,2.31544,1.674,4.003,0.952,6.913
2017-03-29,0.985,0.38,0.85,2.31544,1.674,4.003,0.952,6.913
2017-03-30,0.966,0.33,0.59,2.29275,1.6,3.945,0.948,6.952
2017-03-30,0.966,0.33,0.79,2.29275,1.6,3.945,0.948,6.952
2017-03-30,0.966,0.33,0.82,2.29275,1.6,3.945,0.948,6.952
2017-03-31,0.997,0.34,0.83,2.30055,1.586,3.966,0.975,6.952
2017-03-31,0.997,0.34,0.58,2.30055,1.586,3.966,0.975,6.952
2017-03-31,0.997,0.34,0.79,2.30055,1.586,3.966,0.975,6.952
2017-04-01,1.007,0.34,0.58,2.33137,1.586,3.966,0.975,6.952
2017-04-02,1.007,0.34,0.58,2.33137,1.586,3.966,0.975,6.952
